"GEO_ID","NAME","P001001","P001001ERR",
"Geography","Geographic Area Name","Total","Errata of Total",
"8600000US11978","ZCTA5 11978","3255","null",
"8600000US11980","ZCTA5 11980","4990","null",
"8600000US12007","ZCTA5 12007","60","null",
"8600000US12008","ZCTA5 12008","497","null",
"8600000US12009","ZCTA5 12009","7164","null",
"8600000US12010","ZCTA5 12010","28937","null",
"8600000US12015","ZCTA5 12015","3010","null",
"8600000US12017","ZCTA5 12017","435","null",
"8600000US12018","ZCTA5 12018","7930","null",
"8600000US12019","ZCTA5 12019","14740","null",
"8600000US12020","ZCTA5 12020","31192","null",
"8600000US12022","ZCTA5 12022","929","null",
"8600000US12023","ZCTA5 12023","2196","null",
"8600000US12024","ZCTA5 12024","31","null",
"8600000US12025","ZCTA5 12025","5505","null",
"8600000US12027","ZCTA5 12027","3882","null",
"8600000US12028","ZCTA5 12028","1172","null",
"8600000US12029","ZCTA5 12029","1113","null",
"8600000US12031","ZCTA5 12031","175","null",
"8600000US12032","ZCTA5 12032","836","null",
"8600000US12033","ZCTA5 12033","7851","null",
"8600000US12035","ZCTA5 12035","802","null",
"8600000US12036","ZCTA5 12036","228","null",
"8600000US12037","ZCTA5 12037","4015","null",
"8600000US12040","ZCTA5 12040","113","null",
"8600000US12041","ZCTA5 12041","481","null",
"8600000US12042","ZCTA5 12042","271","null",
"8600000US12043","ZCTA5 12043","8509","null",
"8600000US12045","ZCTA5 12045","584","null",
"8600000US12046","ZCTA5 12046","817","null",
"8600000US12047","ZCTA5 12047","19664","null",
"8600000US12051","ZCTA5 12051","7070","null",
"8600000US12052","ZCTA5 12052","1568","null",
"8600000US12053","ZCTA5 12053","4587","null",
"8600000US12054","ZCTA5 12054","16918","null",
"8600000US12056","ZCTA5 12056","2310","null",
"8600000US12057","ZCTA5 12057","1835","null",
"8600000US12058","ZCTA5 12058","1445","null",
"8600000US12059","ZCTA5 12059","1632","null",
"8600000US12060","ZCTA5 12060","1507","null",
"8600000US12061","ZCTA5 12061","9050","null",
"8600000US12062","ZCTA5 12062","1776","null",
"8600000US12063","ZCTA5 12063","444","null",
"8600000US12064","ZCTA5 12064","563","null",
"8600000US12065","ZCTA5 12065","41776","null",
"8600000US12066","ZCTA5 12066","2143","null",
"8600000US12067","ZCTA5 12067","1506","null",
"8600000US12068","ZCTA5 12068","3201","null",
"8600000US12069","ZCTA5 12069","256","null",
"8600000US12070","ZCTA5 12070","1410","null",
"8600000US12071","ZCTA5 12071","270","null",
